"Scenario TID","TestCase Description","PreCondition","TestSteps","Expected Result","Actual Result","Steps to Execute","Expected Result","Actual Result","Status","Executed QA Name ","Misc (Comments)","Priority","Is Automated"
"TC_AUTH_01","Verify successful token generation with valid credentials","API is operational","POST /auth<br>Payload: {""username"": ""admin"", ""password"": ""password123""}","200 OK","","1. Open Postman<br>2. Set method to POST and URL to https://restful-booker.herokuapp.com/auth<br>3. Add JSON payload<br>4. Send request<br>5. Verify status 200 and token generated","200 OK","","Unexecuted","","","High","Yes"
"TC_AUTH_02","Verify token generation fails with invalid credentials","API is operational","POST /auth<br>Payload: {""username"": ""wrong"", ""password"": ""wrong""}","200 OK with Bad credentials reason","","1. Open Postman<br>2. Set method to POST and URL to https://restful-booker.herokuapp.com/auth<br>3. Add invalid JSON payload<br>4. Send request<br>5. Verify status 200 and reason Bad credentials","200 OK","","Unexecuted","","","Medium","Yes"
"TC_BKG_01","Verify GET /booking returns all booking IDs","API is operational","GET /booking","200 OK","","1. Open Postman<br>2. Set method to GET and URL to https://restful-booker.herokuapp.com/booking<br>3. Send request<br>4. Verify 200 status code and array of IDs","200 OK","","Unexecuted","","","High","Yes"
"TC_BKG_02","Verify GET /booking/{id} returns booking details for valid ID","Booking ID exists","GET /booking/1","200 OK","","1. Open Postman<br>2. Set method to GET and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Send request<br>4. Verify 200 status code and response schema","200 OK","","Unexecuted","","","High","Yes"
"TC_BKG_03","Verify GET /booking/{id} for non-existent ID","Booking ID does not exist","GET /booking/999999","404 Not Found","","1. Open Postman<br>2. Set method to GET and URL to https://restful-booker.herokuapp.com/booking/999999<br>3. Send request<br>4. Verify 404 status code","404 Not Found","","Unexecuted","","","Medium","Yes"
"TC_BKG_04","Verify POST /booking creates a new booking","API is operational","POST /booking<br>Payload: {""firstname"": ""John"", ""lastname"": ""Doe"", ""totalprice"": 100, ""depositpaid"": true, ""bookingdates"": {""checkin"": ""2026-04-01"", ""checkout"": ""2026-04-05""}, ""additionalneeds"": ""Breakfast""}","200 OK","","1. Open Postman<br>2. Set method to POST and URL to https://restful-booker.herokuapp.com/booking<br>3. Add valid JSON payload<br>4. Send request<br>5. Verify 200 and new booking ID","200 OK","","Unexecuted","","","High","Yes"
"TC_BKG_05","Verify POST /booking handles invalid payloads (missing name)","API is operational","POST /booking<br>Payload: {""totalprice"": 100}","500 Internal Server Error","","1. Open Postman<br>2. Set method to POST and URL to https://restful-booker.herokuapp.com/booking<br>3. Add incomplete JSON payload<br>4. Send request<br>5. Verify 500 error","500 Internal Server Error","","Unexecuted","","","Medium","Yes"
"TC_BKG_06","Verify PUT /booking/{id} fully updates a booking with valid token","Booking exists and Valid Auth Token","PUT /booking/1<br>Header: Cookie: token=<valid_token><br>Payload: {""firstname"": ""Jane"", ""lastname"": ""Doe"", ""totalprice"": 150, ""depositpaid"": false, ""bookingdates"": {""checkin"": ""2026-05-01"", ""checkout"": ""2026-05-05""}, ""additionalneeds"": ""None""}","200 OK","","1. Open Postman<br>2. Set method to PUT and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Add Cookie header with token<br>4. Add full JSON payload<br>5. Send request<br>6. Verify 200 status","200 OK","","Unexecuted","","","High","Yes"
"TC_BKG_07","Verify PUT /booking/{id} fails without Auth Token","Booking exists","PUT /booking/1<br>Payload: {""firstname"": ""Jane"", ""lastname"": ""Doe"", ""totalprice"": 150, ""depositpaid"": false, ""bookingdates"": {""checkin"": ""2026-05-01"", ""checkout"": ""2026-05-05""}}","403 Forbidden","","1. Open Postman<br>2. Set method to PUT and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Leave Authorization headers empty<br>4. Add JSON payload<br>5. Send request<br>6. Verify 403 status","403 Forbidden","","Unexecuted","","","High","Yes"
"TC_BKG_08","Verify PATCH /booking/{id} partially updates a booking","Booking exists and Valid Auth Token","PATCH /booking/1<br>Header: Cookie: token=<valid_token><br>Payload: {""firstname"": ""James""}","200 OK","","1. Open Postman<br>2. Set method to PATCH and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Add Cookie header with token<br>4. Add partial JSON payload<br>5. Send request<br>6. Verify 200 status","200 OK","","Unexecuted","","","Medium","Yes"
"TC_BKG_09","Verify DELETE /booking/{id} deletes the booking","Booking exists and Valid Auth Token","DELETE /booking/1<br>Header: Cookie: token=<valid_token>","201 Created","","1. Open Postman<br>2. Set method to DELETE and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Add Cookie header with token<br>4. Send request<br>5. Verify 201 status code","201 Created","","Unexecuted","","","High","Yes"
"TC_BKG_10","Verify DELETE /booking/{id} fails without Auth Token","Booking exists","DELETE /booking/1","403 Forbidden","","1. Open Postman<br>2. Set method to DELETE and URL to https://restful-booker.herokuapp.com/booking/1<br>3. Leave Authorization headers empty<br>4. Send request<br>5. Verify 403 status code","403 Forbidden","","Unexecuted","","","High","Yes"
"TC_PING_01","Verify GET /ping health check endpoint returns success","API is operational","GET /ping","201 Created","","1. Open Postman<br>2. Set method to GET and URL to https://restful-booker.herokuapp.com/ping<br>3. Send request<br>4. Verify 201 status code","201 Created","","Unexecuted","","","High","Yes"
